timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781053202034,380,HTTP Request,200,OK,Thread Group 1-1,text,true,,231,159,3,3,http://localhost:8080/?token=494370254&user=-1356109124&config=3,378,0,12
1781053202116,424,HTTP Request,200,OK,Thread Group 1-2,text,true,,231,159,4,4,http://localhost:8080/?token=494370254&user=-1356109124&config=3,424,0,0
1781053202282,442,HTTP Request,200,OK,Thread Group 1-3,text,true,,231,159,5,5,http://localhost:8080/?token=494370254&user=-1356109124&config=3,442,0,1
1781053202447,398,HTTP Request,200,OK,Thread Group 1-4,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,398,0,1
1781053202614,463,HTTP Request,200,OK,Thread Group 1-5,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,463,0,1
1781053202733,344,HTTP Request,200,OK,Thread Group 1-1,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,344,0,0
1781053202782,400,HTTP Request,200,OK,Thread Group 1-6,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,399,0,1
1781053203115,335,HTTP Request,200,OK,Thread Group 1-2,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,335,0,0
1781053203532,357,HTTP Request,200,OK,Thread Group 1-3,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,357,0,0
1781053203948,360,HTTP Request,200,OK,Thread Group 1-4,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,360,0,0
1781053204114,357,HTTP Request,200,OK,Thread Group 1-5,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,357,0,0
1781053204233,332,HTTP Request,200,OK,Thread Group 1-1,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,332,0,0
1781053204283,377,HTTP Request,200,OK,Thread Group 1-6,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,377,0,0
1781053204615,365,HTTP Request,200,OK,Thread Group 1-2,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,365,0,0
1781053205031,359,HTTP Request,200,OK,Thread Group 1-3,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,359,0,0
1781053205449,351,HTTP Request,200,OK,Thread Group 1-4,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,351,0,0
1781053205614,353,HTTP Request,200,OK,Thread Group 1-5,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,352,0,0
1781053205732,369,HTTP Request,200,OK,Thread Group 1-1,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,369,0,0
1781053205782,353,HTTP Request,200,OK,Thread Group 1-6,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=3,353,0,0
